ReceptionTime,ts,tsys0,tsys1,tsys2,tsys3,tsys4,tsys5,tsys6,tsys7,tsys8,tsys9,tsys10,tsys11,tsys12,tsys13,tsys14,tsys15
1518042623.65356,1518042623.33912,20.408603,20.405248,20.480488,20.383931,20.446609,20.516285,20.447082,20.277062,20.416541,20.464004,20.30823,20.35958,20.488045,20.530472,20.410347,20.413374
1518042624.97984,1518042624.65123,20.410223,20.40356,20.482384,20.385214,20.443764,20.515472,20.446546,20.27889,20.418977,20.463734,20.3085,20.356477,20.492567,20.531013,20.411025,20.411077
1518042626.29648,1518042625.96896,20.414409,20.408556,20.485972,20.387712,20.445186,20.516555,20.4436,20.279093,20.417962,20.462855,20.306472,20.359647,20.49061,20.529595,20.411635,20.412495
1518042627.61131,1518042627.29502,20.411236,20.402074,20.483535,20.386631,20.445525,20.517909,20.445207,20.276926,20.422089,20.462788,20.306202,20.357826,20.492297,20.529662,20.410957,20.416008
1518042628.93821,1518042628.61142,20.413599,20.40437,20.48367,20.385349,20.443764,20.517571,20.44293,20.276249,20.419789,20.462585,20.304985,20.359647,20.490475,20.530878,20.410889,20.412563
1518042630.26083,1518042629.9326,20.411709,20.406396,20.483535,20.384944,20.44119,20.515269,20.441858,20.277062,20.421751,20.461639,20.307892,20.357151,20.495537,20.530405,20.409602,20.417562
1518042634.251,1518042633.83544,20.411439,20.403222,20.482248,20.384809,20.44417,20.51263,20.444202,20.27713,20.421277,20.464748,20.307554,20.357759,20.489732,20.533174,20.409873,20.41432
1518042694.59209,1518042694.25247,20.415152,20.405991,20.482181,20.382176,20.44268,20.51466,20.444068,20.276385,20.420465,20.464072,20.305864,20.358298,20.490947,20.530067,20.410957,20.41432
1518042754.94691,1518042754.61876,20.410628,20.404843,20.4878,20.385551,20.445051,20.518924,20.445742,20.279974,20.42236,20.464951,20.309244,20.358838,20.491015,20.534862,20.41299,20.416684
1518042815.35906,1518042815.00602,20.410561,20.408286,20.489222,20.388724,20.445999,20.519601,20.445542,20.278484,20.42263,20.466843,20.308365,20.364437,20.497292,20.534187,20.413938,20.417697
1518042875.72089,1518042875.39247,20.411844,20.41038,20.487326,20.388994,20.446541,20.521158,20.447751,20.284917,20.424931,20.470493,20.309108,20.359917,20.494794,20.538441,20.415022,20.41763
1518042936.0656,1518042935.73251,20.411979,20.407003,20.492878,20.387982,20.449048,20.519398,20.450966,20.282886,20.426081,20.471777,20.31161,20.3641,20.497224,20.541548,20.415835,20.419521
1518042996.44885,1518042996.12208,20.413397,20.410717,20.490576,20.388859,20.449589,20.523323,20.452037,20.286881,20.424389,20.472182,20.310258,20.364707,20.498236,20.537563,20.414548,20.42067
1518043056.83251,1518043056.5071,20.413869,20.407274,20.492472,20.394868,20.450538,20.52691,20.452372,20.287016,20.425743,20.47252,20.312624,20.365516,20.501611,20.542831,20.418477,20.422156
1518043117.2196,1518043116.89039,20.412384,20.409164,20.493759,20.394463,20.452096,20.52576,20.455184,20.289522,20.429667,20.472047,20.315666,20.368282,20.502286,20.542831,20.42139,20.42067
1518043177.64342,1518043177.27246,20.412654,20.41092,20.496738,20.396083,20.455957,20.525354,20.456658,20.290876,20.430276,20.478265,20.315801,20.368822,20.501679,20.544722,20.423152,20.423845
1518043238.05218,1518043237.67253,20.415152,20.408151,20.494707,20.395071,20.456702,20.525624,20.458399,20.293517,20.435215,20.474277,20.317017,20.368687,20.502758,20.54722,20.423287,20.424723
1518043298.3968,1518043298.07204,20.415827,20.414363,20.497821,20.398986,20.458463,20.528738,20.45947,20.294533,20.433794,20.479076,20.319721,20.371858,20.504581,20.546883,20.421729,20.428506
1518043358.8066,1518043358.4613,20.413397,20.408692,20.49904,20.397839,20.457176,20.528196,20.46014,20.29609,20.435553,20.476913,20.320465,20.373814,20.507145,20.549651,20.422881,20.428034
1518043419.19458,1518043418.83248,20.41495,20.415376,20.502222,20.399796,20.459615,20.526978,20.460073,20.297512,20.438191,20.482996,20.320668,20.376984,20.507078,20.548031,20.424575,20.427831
1518043479.52815,1518043479.20729,20.414274,20.415579,20.502154,20.400336,20.460292,20.533137,20.459604,20.298528,20.440086,20.481171,20.321006,20.378806,20.511465,20.55269,20.426404,20.428101
1518043539.91536,1518043539.59266,20.418461,20.414566,20.504863,20.401349,20.462325,20.531445,20.465095,20.301169,20.442521,20.481847,20.317896,20.376984,20.507618,20.550529,20.428233,20.431614
1518043600.30363,1518043599.97812,20.418393,20.41882,20.505201,20.406007,20.464899,20.531512,20.465564,20.298731,20.443468,20.481374,20.322763,20.380897,20.511195,20.55188,20.426743,20.434113
1518043660.67538,1518043660.35492,20.417178,20.418347,20.507097,20.405332,20.462799,20.536994,20.469113,20.302862,20.440492,20.48232,20.320735,20.377322,20.512679,20.558025,20.427826,20.433505
1518043721.00885,1518043720.68972,20.41711,20.420575,20.503779,20.398716,20.460563,20.534287,20.468443,20.311935,20.445363,20.485699,20.326211,20.379548,20.498709,20.55843,20.428097,20.434857
1518043781.39554,1518043781.07287,20.416705,20.42699,20.48841,20.405265,20.472417,20.527113,20.463689,20.311529,20.445701,20.484347,20.324453,20.379817,20.505525,20.557552,20.428504,20.442828
