######################################################################
#
# LoggerIdentifier    : 0000000C
# Comment             : 
# PC Time             : 24 January 2018 , 21:31:27
# Logger Time         : 24 January 2018 , 21:31:37
# StartBatteryVoltage :      2817 mV
# EndBatteryVoltage   :      2777 mV
# TotalSampleCount    :    300668
# ResistanceOffset    :     11910.90559
# ResistanceScale     :     90895.96966
# TemperatureOffset   :         0.0010743547
# TemperatureLinear   :         0.0002113377
# TemperatureCubic    :         0.0000000922
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2017 12 16 05 10 00     7836    16123.321       38.801
2017 12 16 05 12 00     7837    16124.283       38.799
2017 12 16 05 14 00     7836    16123.321       38.801
2017 12 16 05 16 00     7837    16124.283       38.799
2017 12 16 05 18 00     7837    16124.283       38.799
2017 12 16 05 20 00     7838    16125.244       38.798
2017 12 16 05 22 00     7838    16125.244       38.798
2017 12 16 05 24 00     7838    16125.244       38.798
2017 12 16 05 26 00     7838    16125.244       38.798
2017 12 16 05 28 00     7838    16125.244       38.798
2017 12 16 05 30 00     7838    16125.244       38.798
2017 12 16 05 32 00     7838    16125.244       38.798
2017 12 16 05 34 00     7838    16125.244       38.798
2017 12 16 05 36 00     7838    16125.244       38.798
2017 12 16 05 38 00     7838    16125.244       38.798
2017 12 16 05 40 00     7838    16125.244       38.798
2017 12 16 05 42 00     7839    16126.205       38.797
2017 12 16 05 44 00     7839    16126.205       38.797
2017 12 16 05 46 00     7839    16126.205       38.797
2017 12 16 05 48 00     7839    16126.205       38.797
2017 12 16 05 50 00     7839    16126.205       38.797
2017 12 16 05 52 00     7839    16126.205       38.797
2017 12 16 05 54 00     7839    16126.205       38.797
2017 12 16 05 56 00     7839    16126.205       38.797
2017 12 16 05 58 00     7840    16127.167       38.795
2017 12 16 06 00 00     7840    16127.167       38.795
2017 12 16 06 02 00     7840    16127.167       38.795
2017 12 16 06 04 00     7840    16127.167       38.795
2017 12 16 06 06 00     7840    16127.167       38.795
2017 12 16 06 08 00     7840    16127.167       38.795
